Natural_convection_horizontal_09_02V_1_01A,Natural_convection_horizontal_15V_1_64A,Natural_convection_horizontal_20_4V_2_28A,Natural_convection_horizontal_25V_2_62A,Natural_convection_horizontal_28_7V_2_99A
2.987737685705065473e+02,3.052700633286193579e+02,3.123406927937918454e+02,3.211788954830295779e+02,3.267763039891075891e+02
2.987537398808252078e+02,3.053294841257098824e+02,3.123298090258038542e+02,3.212230795839824395e+02,3.268133607628624873e+02
2.987804850904753948e+02,3.053176492962792281e+02,3.123081399274993828e+02,3.211739641939880698e+02,3.267763039891075891e+02
2.988072146785586938e+02,3.052522380192126548e+02,3.123243666078302567e+02,3.211592618518451445e+02,3.268040539707766357e+02
2.986668047365087659e+02,3.052046051809887217e+02,3.122377534176600875e+02,3.211102065760233017e+02,3.267206927429120924e+02
2.987671778186679035e+02,3.052640844854770990e+02,3.123081399274993828e+02,3.211200755163783356e+02,3.267345765245480607e+02
2.987337024039179028e+02,3.052165730433372914e+02,3.122215098112823739e+02,3.210169596634300433e+02,3.266187893132333784e+02
2.987136561188281121e+02,3.051927480929209082e+02,3.122160602944628067e+02,3.209923518020119673e+02,3.266094641602201136e+02
2.987203814886630653e+02,3.051807759279543006e+02,3.121184224294681258e+02,3.209432101991514514e+02,3.265769951956402224e+02
2.986735370398100144e+02,3.051390823469130282e+02,3.121455956208423572e+02,3.208743504868755281e+02,3.264795241347665637e+02
2.986668047365087659e+02,3.051152294841081698e+02,3.120641522846594285e+02,3.207069378650416525e+02,3.263401502268619083e+02
2.986600714341524849e+02,3.050734945141463754e+02,3.119608685423255565e+02,3.206329466037885254e+02,3.261912141284254858e+02
2.985930650100781918e+02,3.049123008048354677e+02,3.118575585931694150e+02,3.204799163309776304e+02,3.260513429561987664e+02
2.985327122687865540e+02,3.048883655196025302e+02,3.117813088906982557e+02,3.203513254072715881e+02,3.259020575381326239e+02
2.984923045022202359e+02,3.048285457105262708e+02,3.116067426118984258e+02,3.201035917468436764e+02,3.255838712147758542e+02
2.984721507350033107e+02,3.047806048761358397e+02,3.115138753178778757e+02,3.199496988593170386e+02,3.253680543914949794e+02
2.984116348065857096e+02,3.046847308678423474e+02,3.114263008959031822e+02,3.198502974218216082e+02,3.252929188444630313e+02
2.985058203005253290e+02,3.048166205996693634e+02,3.115793908915533166e+02,3.200440987914124094e+02,3.255603991186831081e+02
2.985393371997121790e+02,3.049123008048354677e+02,3.117104717259086897e+02,3.202919888191382825e+02,3.257851983225102686e+02
2.985930650100781918e+02,3.050019520217680906e+02,3.118847145174759135e+02,3.205095302617871766e+02,3.260933605562383946e+02
2.985460885282478785e+02,3.049601451459793680e+02,3.118847145174759135e+02,3.205193682789300169e+02,3.261492382839221591e+02
2.986467289195066428e+02,3.051093497305012079e+02,3.119663348920514636e+02,3.206970258315724323e+02,3.263354745676610378e+02
2.985930650100781918e+02,3.049899451829043073e+02,3.120043830297707927e+02,3.207315264472485978e+02,3.263633488018863318e+02
2.986534642035016418e+02,3.050616138816780563e+02,3.120424136442315444e+02,3.207462952246391978e+02,3.264423417699552488e+02
2.986065505636813100e+02,3.051033563658999128e+02,3.120369523289431868e+02,3.208201979746902452e+02,3.264795241347665637e+02
2.986065505636813100e+02,3.050616138816780563e+02,3.121021554195177714e+02,3.208448505412488316e+02,3.265677541062722753e+02
2.986332553463313388e+02,3.051272135150824170e+02,3.120696118034136930e+02,3.208103911934825305e+02,3.265259383592799622e+02
2.986735370398100144e+02,3.050973624571181517e+02,3.121021554195177714e+02,3.208644559588228731e+02,3.265538468355862847e+02
2.986065505636813100e+02,3.050734945141463754e+02,3.120153096058213009e+02,3.207759193070688752e+02,3.264144898674879300e+02
2.985998082904372382e+02,3.050794905917735491e+02,3.120369523289431868e+02,3.208497055938748304e+02,3.265073576768024282e+02
2.986534642035016418e+02,3.051212217713269865e+02,3.120153096058213009e+02,3.208054407183718695e+02,3.264609347049262169e+02
2.986131646462198432e+02,3.050556161774770771e+02,3.120533351923413647e+02,3.207807778933596410e+02,3.265027780135999365e+02
2.985797027038424858e+02,3.050079546186497623e+02,3.119500379117220632e+02,3.206970258315724323e+02,3.263633488018863318e+02
2.986199049266448355e+02,3.050258459015581138e+02,3.119337377103407221e+02,3.206575544189406060e+02,3.262982378161409542e+02
2.985797027038424858e+02,3.049601451459793680e+02,3.119064947366171623e+02,3.206279868392111325e+02,3.262284913488675784e+02
2.985797027038424858e+02,3.050377329874866064e+02,3.119119646925604457e+02,3.206131995821248779e+02,3.262517162262502666e+02
2.984923045022202359e+02,3.048943785238532200e+02,3.117976393038856031e+02,3.205095302617871766e+02,3.261539227915219499e+02
2.985460885282478785e+02,3.049422359520941654e+02,3.118139664724662339e+02,3.205243337461286046e+02,3.261446419466244606e+02
2.985460885282478785e+02,3.048704366774701384e+02,3.117268162354220067e+02,3.204501993510687612e+02,3.260420524334790002e+02
2.984856726189183860e+02,3.048585192193377793e+02,3.117649752303573791e+02,3.204996912198934069e+02,3.260746981104380211e+02
2.984990629110931764e+02,3.048405821825712110e+02,3.116831546408851636e+02,3.203513254072715881e+02,3.259253595675313022e+02
2.985259589296201739e+02,3.048525029145287704e+02,3.116886394830203244e+02,3.203859524571705606e+02,3.259066652214702913e+02
2.984856726189183860e+02,3.047626463778988750e+02,3.115685098225250727e+02,3.202622125660979009e+02,3.257617743013743166e+02
2.984721507350033107e+02,3.047626463778988750e+02,3.116122325746410979e+02,3.203068264677351635e+02,3.258693545040922004e+02
2.984452223484901197e+02,3.046546771055818112e+02,3.114974882072818900e+02,3.201681254051984524e+02,3.256962638722856127e+02
2.985327122687865540e+02,3.047626463778988750e+02,3.115576273046007145e+02,3.201978374009677282e+02,3.257337291132689074e+02
2.984385834730000511e+02,3.046667458225041401e+02,3.114318030073081900e+02,3.201185531974039122e+02,3.255932051476306128e+02
2.984048631462522962e+02,3.046186852991762635e+02,3.114700998650704946e+02,3.200639653403439411e+02,3.255838712147758542e+02
2.984048631462522962e+02,3.045826734306521075e+02,3.113442441708295974e+02,3.199496988593170386e+02,3.254759776532248452e+02
2.983914445468111012e+02,3.045646599558124308e+02,3.113332277255449867e+02,3.198950128012505161e+02,3.253962042481151116e+02
2.984452223484901197e+02,3.045826734306521075e+02,3.113442441708295974e+02,3.199050095288728812e+02,3.254244350693170986e+02
2.984587523826575080e+02,3.045466414446627255e+02,3.113278228855511429e+02,3.198353875585950732e+02,3.253258144457402068e+02
2.984182776983728900e+02,3.045104751643445979e+02,3.112510769230993333e+02,3.197756299579389747e+02,3.252270944949304976e+02
2.983914445468111012e+02,3.044744027119735392e+02,3.112016423710935555e+02,3.197507905561996040e+02,3.251658684855880210e+02
2.983239065769417380e+02,3.043780720582200843e+02,3.111192537957253990e+02,3.195763515224252842e+02,3.249821392829849742e+02
2.983846698098281536e+02,3.044624121249767654e+02,3.111907106612798657e+02,3.196909789797670101e+02,3.250858421243692646e+02
2.983172495329973231e+02,3.043598866604394857e+02,3.110478380018643634e+02,3.194715317830316508e+02,3.248973073217274532e+02
2.983172495329973231e+02,3.043418105034352266e+02,3.110698428841849363e+02,3.195214470753247156e+02,3.248736701242356730e+02
2.983172495329973231e+02,3.043539381106975270e+02,3.110258271161044945e+02,3.194065166820643071e+02,3.247555776234737550e+02
2.983306906093158659e+02,3.043780720582200843e+02,3.110423097660325311e+02,3.194015865776211172e+02,3.247414112740039513e+02
2.982699812543920643e+02,3.042573108558989361e+02,3.109102495687563419e+02,3.192865084479966526e+02,3.245664040013608087e+02
2.982699812543920643e+02,3.042392055461803579e+02,3.108992783040689574e+02,3.192064487426623032e+02,3.245237264530601351e+02
2.981955813974208240e+02,3.042089421073267772e+02,3.108496276655957899e+02,3.192314332336410985e+02,3.244337279491248296e+02
2.982293335168278645e+02,3.041545691809186565e+02,3.108386481166810995e+02,3.191162398100684072e+02,3.243767729014376187e+02
2.982226621553152768e+02,3.041484866025950851e+02,3.107835185262950972e+02,3.191061583562009218e+02,3.242913229089501215e+02
2.982293335168278645e+02,3.041182945774856421e+02,3.107945056245949900e+02,3.190861824382725445e+02,3.243008710949808915e+02
2.981955813974208240e+02,3.041001494576523214e+02,3.106620367931942610e+02,3.189456590561560461e+02,3.241249802733296406e+02
2.981819705207899460e+02,3.040940616342509202e+02,3.107007005651005898e+02,3.189857622534499342e+02,3.241487995809219456e+02
2.982023852480982100e+02,3.039970365056306605e+02,3.105459329847753907e+02,3.188049227289300234e+02,3.239583527684880551e+02
2.981616747385705821e+02,3.039849553596495753e+02,3.105459329847753907e+02,3.188199982072801504e+02,3.239583527684880551e+02
2.980939108987255963e+02,3.039242843103374980e+02,3.104850341060367782e+02,3.186589072393310289e+02,3.237914390988714786e+02
2.981616747385705821e+02,3.039485828113927823e+02,3.104408006868393386e+02,3.186589072393310289e+02,3.237819313136634491e+02
2.980939108987255963e+02,3.038756589557595476e+02,3.103464728416857383e+02,3.185126610321551652e+02,3.236050979268550236e+02
2.980803969348297642e+02,3.038453353541567026e+02,3.103187946619606237e+02,3.184722566830016603e+02,3.235285908008623892e+02
2.980395720444240055e+02,3.038209966191693638e+02,3.102521378736475981e+02,3.184217742817627368e+02,3.234183979271311955e+02
2.980667499929448354e+02,3.038087659841780805e+02,3.102743630474826659e+02,3.184217742817627368e+02,3.234232152400406903e+02
