Natural_convection_horizontal_09_02V_1_01A,Natural_convection_horizontal_15V_1_64A,Natural_convection_horizontal_20_4V_2_28A,Natural_convection_horizontal_25V_2_62A,Natural_convection_horizontal_28_7V_2_99A
3.176189320048083076e+00,3.140057320114612249e+00,3.481261832644879650e+00,3.813902249908287079e+00,4.114243924020253296e+00
3.116540317614178157e+00,3.145975216137380848e+00,3.453105348772921079e+00,3.804921525706522090e+00,4.094859885836678259e+00
3.156169388477973126e+00,3.145975216137380848e+00,3.466209304887843956e+00,3.812610891602207897e+00,4.107777860444933538e+00
3.189698160430646467e+00,3.116392212992282751e+00,3.462475037399957767e+00,3.815194093367583417e+00,4.103466746313530145e+00
3.230345143263364971e+00,3.163857171985626326e+00,3.486915953777312893e+00,3.838407850724815162e+00,4.117481285820646875e+00
3.162869546962416401e+00,3.119353938211586019e+00,3.460591784857178332e+00,3.795964219795387784e+00,4.099160758061252352e+00
3.230345143263364971e+00,3.157903370058203318e+00,3.500159970956718603e+00,3.828065864240178140e+00,4.119654807579558486e+00
3.149484691676660564e+00,3.119353938211586019e+00,3.445636512115245242e+00,3.808764058016505860e+00,4.091642671412164312e+00
3.149484691676660564e+00,3.163857171985626326e+00,3.473726677944878105e+00,3.820341909026899962e+00,4.114243924020253296e+00
3.182935899167027571e+00,3.122262685307397589e+00,3.458709646891787948e+00,3.803633537056906988e+00,4.095939719112698718e+00
3.182935899167027571e+00,3.137074696457755163e+00,3.471836758174192017e+00,3.816486422273371204e+00,4.108861553574233660e+00
3.142941095218568570e+00,3.119353938211586019e+00,3.466209304887843956e+00,3.802370319329525739e+00,4.098079963431365158e+00
3.237218155845303258e+00,3.157903370058203318e+00,3.490678988652125891e+00,3.824201720413390682e+00,4.129390099676733428e+00
3.257803494877006045e+00,3.128200979238971335e+00,3.494482366335370127e+00,3.812610891602207897e+00,4.120721539857321147e+00
3.230345143263364971e+00,3.134095088661594808e+00,3.502066745304604378e+00,3.825497437273929435e+00,4.129390099676733428e+00
3.203141622476510353e+00,3.166866981701359496e+00,3.496385754992708872e+00,3.829363036139675547e+00,4.122897004320188685e+00
3.348746942110227831e+00,3.190941607984510320e+00,3.526813679771804377e+00,3.842287965688870433e+00,4.142431855667854101e+00
3.243977170630279794e+00,3.160907124161187465e+00,3.502066745304604378e+00,3.839684368721512087e+00,4.139172181984976717e+00
3.278533786985589060e+00,3.184876023225937214e+00,3.532548955800042023e+00,3.866972065647712231e+00,4.166432690475874168e+00
3.299410604458755003e+00,3.196962207552430435e+00,3.534475112219877424e+00,3.873511637012795106e+00,4.168635675431029419e+00
3.292391191416169871e+00,3.203052539532639909e+00,3.569160982043798391e+00,3.886603058651343368e+00,4.176314952312695894e+00
3.341610219529548953e+00,3.224351482864105556e+00,3.559474217341103142e+00,3.905019481625683575e+00,4.199450161986982621e+00
3.348746942110227831e+00,3.236599239585404408e+00,3.588585234919565714e+00,3.950148096559266797e+00,4.232747180946762278e+00
3.355900760808391947e+00,3.258139583253970351e+00,3.625841897262820801e+00,3.970255374584086727e+00,4.268612847392668108e+00
3.427977943244001846e+00,3.342682065745072428e+00,3.663493003417430671e+00,4.012160881304465576e+00,4.302566385287437178e+00
3.494308172235612631e+00,3.355421444798891262e+00,3.691532699989921174e+00,4.047711014968655263e+00,4.339098459344383762e+00
3.539486861124993222e+00,3.387474511147428480e+00,3.756543479875242841e+00,4.117083793355720722e+00,4.417992000585641676e+00
3.562255522307544719e+00,3.413386011528155795e+00,3.791600198821120316e+00,4.160776272267249887e+00,4.472317511545267799e+00
