h1,h2,h3,h4,h5
-2.431335805886357671e-01,2.911653150779994537e+00,5.161920609518457326e+00,7.588679633648174772e+00,8.323776730445363370e+00
-2.551433531217113804e-01,2.889149418873531161e+00,5.131931675821186367e+00,7.550618423509837029e+00,8.285693514768052381e+00
-2.716376302776170037e-01,2.858260346307329058e+00,5.090774986948339631e+00,7.498388815090608617e+00,8.234599724002395149e+00
-2.789188168217802133e-01,2.844631312783816757e+00,5.072618118516480479e+00,7.475348987443865667e+00,8.223557249683091541e+00
-2.906863958025138750e-01,2.822613128216516554e+00,5.043288313181139237e+00,7.438134100888087907e+00,8.159962088863798257e+00
-3.059559070208363596e-01,2.794058369483818360e+00,5.005257363913711011e+00,7.389883730455755639e+00,8.118708809718519603e+00
-3.113133256513716529e-01,2.784043997529420444e+00,4.991921249029006802e+00,7.372965343783464576e+00,8.118708809718519603e+00
-3.228647145862379442e-01,2.762459128546830289e+00,4.963179632040347400e+00,7.336505665219632988e+00,8.060638398762890233e+00
-3.316983713992002758e-01,2.745959646925336894e+00,4.941212219436544650e+00,7.308641464301575574e+00,8.049955032139999744e+00
-3.492316625625970228e-01,2.713229244792018324e+00,4.897641919968037882e+00,7.253381079471590276e+00,7.988419746886309625e+00
-3.535873481984123101e-01,2.705102020919009309e+00,4.886824507981786248e+00,7.239662484225958927e+00,7.952683274954170045e+00
-3.613999987518725088e-01,2.690528283290352096e+00,4.867428176775015380e+00,7.215065316807498519e+00,7.952683274954170045e+00
-3.648609635194100531e-01,2.684073754731082229e+00,4.858838378937726077e+00,7.204172777591953292e+00,7.942219287867301247e+00
-3.837729559630398968e-01,2.648820886117003504e+00,4.811929780467803397e+00,7.144694274375531506e+00,7.884009410025067055e+00
-3.871892725935531243e-01,2.642455799739797051e+00,4.803461375809738421e+00,7.133957585296933246e+00,7.877811436173394632e+00
-3.973976335303477381e-01,2.623441841856017476e+00,4.778166502621116862e+00,7.101889175995245829e+00,7.830540274576926585e+00
-4.050142345815784251e-01,2.609260828987501224e+00,4.759303182022788015e+00,7.077976307845159631e+00,7.795878643336908276e+00
-4.100732236083765581e-01,2.599844363143886561e+00,4.746778585862283961e+00,7.062099806440950367e+00,7.797911077069817232e+00
-4.218196933158451234e-01,2.577988440889885879e+00,4.717711725428239689e+00,7.025256444048034510e+00,7.761450426787818380e+00
-4.243263278517969139e-01,2.573325988261742747e+00,4.711511556398672695e+00,7.017397953409089340e+00,7.753383322135032785e+00
-4.301608740075814619e-01,2.562475503021397483e+00,4.697083268454655069e+00,6.999111250784641136e+00,7.745328970373483557e+00
-4.309927550700400345e-01,2.560928688714455337e+00,4.695026501763535975e+00,6.996504535443919259e+00,7.737287339546063514e+00
-4.434225207287929016e-01,2.537823487492149699e+00,4.664306654195199187e+00,6.957572814365157399e+00,7.711239509111012858e+00
-4.524803829125294552e-01,2.520994398431027239e+00,4.641934452256500698e+00,6.929222745597700239e+00,7.657563728667676095e+00
-4.606731537559148326e-01,2.505778610514719063e+00,4.621709239574890660e+00,6.903595212090765543e+00,7.626022564126786918e+00
-4.696397960661399806e-01,2.489132141536195775e+00,4.599584852273525648e+00,6.875563265813786629e+00,7.620130482431195063e+00
-4.720770435713169122e-01,2.484608610981760890e+00,4.593573203739899746e+00,6.867946784165346763e+00,7.618167984773413615e+00
-4.825981420857853865e-01,2.465087327446894516e+00,4.567632207812861722e+00,6.835082568991848184e+00,7.586871605958749321e+00
-4.890403245256115250e-01,2.453138959991855828e+00,4.551756351745573248e+00,6.814971185989780800e+00,7.567409835030981746e+00
-4.938559120815456116e-01,2.444209806118561978e+00,4.539893045673882632e+00,6.799943598135505418e+00,7.553831358036532606e+00
-4.994568114841038686e-01,2.433827055392445704e+00,4.526099463933759282e+00,6.782471669223415489e+00,7.542221865758663490e+00
-5.066307794865581027e-01,2.420532215118039954e+00,4.508438686794046468e+00,6.760102528797585997e+00,7.511394225799789659e+00
-5.090153405270659848e-01,2.416114132792411162e+00,4.502570120754555205e+00,6.752669715615693846e+00,7.501799452127513312e+00
-5.161488554448416810e-01,2.402900243676488135e+00,4.485019181511282760e+00,6.730441565450768771e+00,7.492223087223981892e+00
-5.232522916080641906e-01,2.389746541155502779e+00,4.467549904385459847e+00,6.708318237280513685e+00,7.459800391083049931e+00
-5.295413847173667810e-01,2.378104527105276755e+00,4.452089722950797857e+00,6.688740424352833891e+00,7.446511023531567020e+00
-5.287565329402384995e-01,2.379557208145940628e+00,4.454018757731885714e+00,6.691183173952025776e+00,7.442720579191479224e+00
-5.397112418797864741e-01,2.359286127876026651e+00,4.427102433575977436e+00,6.657100410311220351e+00,7.418152987496669404e+00
-5.404909939132516161e-01,2.357843649586889523e+00,4.425187241454122677e+00,6.654675428761925637e+00,7.416268203404749570e+00
-5.451619134622498475e-01,2.349203969039999507e+00,4.413716696419226260e+00,6.640151990651727232e+00,7.423811643063748633e+00
-5.474925054567458815e-01,2.344893866589162990e+00,4.407994635461069954e+00,6.632907229342539956e+00,7.408736227635066562e+00
-5.544649049369962945e-01,2.332002319615118502e+00,4.390881039225718041e+00,6.611240442727346789e+00,7.386208807316632097e+00
-5.583259589109397236e-01,2.324865355417646828e+00,4.381407411791883533e+00,6.599246884352337084e+00,7.382464191758208116e+00
-5.660214511894716694e-01,2.310644663353232264e+00,4.362532381418657401e+00,6.575352469528431776e+00,7.378722411208060272e+00
-5.621781290567393619e-01,2.317746160751732010e+00,4.371957891943788255e+00,6.587284268719537650e+00,7.397459698248640692e+00
-5.713873052940592334e-01,2.300732161644148288e+00,4.349376816383289324e+00,6.558699483258835450e+00,7.376852582994480656e+00
