T1,T2,T3,T4,T5
3.298282504690155292e+02,3.298282504690155292e+02,3.298282504690155292e+02,3.298282504690155292e+02,3.392390940043699175e+02
3.298204251602836052e+02,3.298204251602836052e+02,3.298204251602836052e+02,3.298204251602836052e+02,3.392531382707358034e+02
3.299299156812092519e+02,3.299299156812092519e+02,3.299299156812092519e+02,3.299299156812092519e+02,3.393443703539898024e+02
3.299377311788397265e+02,3.299377311788397265e+02,3.299377311788397265e+02,3.299377311788397265e+02,3.393513842143932493e+02
3.299846094726066781e+02,3.299846094726066781e+02,3.299846094726066781e+02,3.299846094726066781e+02,3.393233253525896203e+02
3.300080391803645057e+02,3.300080391803645057e+02,3.300080391803645057e+02,3.300080391803645057e+02,3.393794339578964809e+02
3.300782905883943386e+02,3.300782905883943386e+02,3.300782905883943386e+02,3.300782905883943386e+02,3.394635285314909652e+02
3.301172947285413670e+02,3.301172947285413670e+02,3.301172947285413670e+02,3.301172947285413670e+02,3.394775363298872435e+02
3.301952507565525252e+02,3.301952507565525252e+02,3.301952507565525252e+02,3.301952507565525252e+02,3.394915418546498813e+02
3.301562814459927608e+02,3.301562814459927608e+02,3.301562814459927608e+02,3.301562814459927608e+02,3.394214914879120784e+02
3.302497785777804893e+02,3.302497785777804893e+02,3.302497785777804893e+02,3.302497785777804893e+02,3.394985437646244009e+02
3.302887061760850429e+02,3.302887061760850429e+02,3.302887061760850429e+02,3.302887061760850429e+02,3.395405432959558993e+02
3.303431756635050078e+02,3.303431756635050078e+02,3.303431756635050078e+02,3.303431756635050078e+02,3.394915418546498813e+02
3.303353963889384204e+02,3.303353963889384204e+02,3.303353963889384204e+02,3.303353963889384204e+02,3.392461164231215207e+02
3.304209303005208653e+02,3.304209303005208653e+02,3.304209303005208653e+02,3.304209303005208653e+02,3.390492725039931088e+02
3.304053849131979064e+02,3.304053849131979064e+02,3.304053849131979064e+02,3.304053849131979064e+02,3.387461004355162686e+02
3.304442431917315730e+02,3.304442431917315730e+02,3.304442431917315730e+02,3.304442431917315730e+02,3.385127101712658941e+02
3.304830841793146874e+02,3.304830841793146874e+02,3.304830841793146874e+02,3.304830841793146874e+02,3.382857892630248102e+02
3.304986157363622397e+02,3.304986157363622397e+02,3.304986157363622397e+02,3.304986157363622397e+02,3.379656716240120318e+02
3.305141445303360683e+02,3.305141445303360683e+02,3.305141445303360683e+02,3.305141445303360683e+02,3.376944253523116686e+02
3.305296705622280911e+02,3.305296705622280911e+02,3.305296705622280911e+02,3.305296705622280911e+02,3.377587446943066993e+02
3.305839899367568933e+02,3.305839899367568933e+02,3.305839899367568933e+02,3.305839899367568933e+02,3.383496709517928025e+02
3.306072593251198555e+02,3.306072593251198555e+02,3.306072593251198555e+02,3.306072593251198555e+02,3.387814076972786665e+02
