#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
-6.2042512e-03	3.3371274e-03
-6.0914342e-03	3.3342628e-03
-5.9791770e-03	3.3314713e-03
-5.8674772e-03	3.3287362e-03
-5.7563323e-03	3.3260481e-03
-5.6457396e-03	3.3234087e-03
-5.5356962e-03	3.3208210e-03
-5.4261993e-03	3.3182877e-03
-5.3172462e-03	3.3158103e-03
-5.2088343e-03	3.3133823e-03
-5.1009611e-03	3.3109932e-03
-4.9936242e-03	3.3086328e-03
-4.8868212e-03	3.3062911e-03
-4.7805496e-03	3.3039622e-03
-4.6748065e-03	3.3016507e-03
-4.5695893e-03	3.2993625e-03
-4.4648951e-03	3.2971035e-03
-4.3607213e-03	3.2948795e-03
-4.2570653e-03	3.2926901e-03
-4.1539247e-03	3.2905272e-03
-4.0512970e-03	3.2883825e-03
-3.9491799e-03	3.2862477e-03
-3.8475711e-03	3.2841153e-03
-3.7464679e-03	3.2819853e-03
-3.6458678e-03	3.2798645e-03
-3.5457680e-03	3.2777598e-03
-3.4461660e-03	3.2756779e-03
-3.3470592e-03	3.2736251e-03
-3.2484450e-03	3.2716014e-03
-3.1503212e-03	3.2696014e-03
-3.0526853e-03	3.2676199e-03
-2.9555352e-03	3.2656516e-03
-2.8588684e-03	3.2636916e-03
-2.7626825e-03	3.2617407e-03
-2.6669750e-03	3.2598066e-03
-2.5717434e-03	3.2578972e-03
-2.4769852e-03	3.2560200e-03
-2.3826978e-03	3.2541824e-03
-2.2888789e-03	3.2523883e-03
-2.1955262e-03	3.2506341e-03
-2.1026373e-03	3.2489154e-03
-2.0102101e-03	3.2472276e-03
-1.9182423e-03	3.2455666e-03
-1.8267318e-03	3.2439296e-03
-1.7356760e-03	3.2423243e-03
-1.6450728e-03	3.2407628e-03
-1.5549196e-03	3.2392569e-03
-1.4652141e-03	3.2378179e-03
-1.3759541e-03	3.2364569e-03
-1.2871373e-03	3.2351758e-03
-1.1987601e-03	3.2339607e-03
-1.1108228e-03	3.2327964e-03
-1.0233226e-03	3.2316684e-03
-9.3625798e-04	3.2305622e-03
-8.4962476e-04	3.2294663e-03
-7.6342401e-04	3.2284084e-03
-6.7765041e-04	3.2274457e-03
-5.9230202e-04	3.2266352e-03
-5.0737657e-04	3.2260317e-03
