Natural_convection_vertical_09_02V_1_01A,Natural_convection_vertical_15V_1_64A,Natural_convection_vertical_20_4V_2_28A,Natural_convection_vertical_25V_2_62A,Natural_convection_vertical_28_7V_2_99A
2.982158614537555650e+02,3.039485828113927823e+02,3.102466596193285113e+02,3.179559758671260283e+02,3.230391689700993538e+02
2.982429296903441696e+02,3.039788563736115634e+02,3.102188410800223437e+02,3.179051129907358586e+02,3.230584212540275075e+02
2.982158614537555650e+02,3.039120739174199457e+02,3.101799419109169094e+02,3.177933660488067744e+02,3.228658168054307680e+02
2.982226621553152768e+02,3.038817680110493029e+02,3.101131677002272795e+02,3.176966464740130505e+02,3.227790237457357989e+02
2.981549930497784544e+02,3.038209966191693638e+02,3.100631290424619806e+02,3.176151952971193282e+02,3.226391123675398376e+02
2.982226621553152768e+02,3.038027651705570520e+02,3.099350369221431833e+02,3.175591131346678822e+02,3.225714644861510578e+02
2.981413695128595123e+02,3.037540448094455883e+02,3.098847786411255925e+02,3.173804841848316869e+02,3.224021363349626199e+02
2.980803969348297642e+02,3.036808924043241973e+02,3.097675248065472147e+02,3.172628529220945097e+02,3.222276320470329551e+02
2.981278702988304872e+02,3.036991597132928860e+02,3.097451555999305697e+02,3.171758650380368749e+02,3.221742428285468804e+02
2.980328715370753798e+02,3.035710590011577779e+02,3.096165404723276424e+02,3.169862611511505293e+02,3.219361149234155164e+02
2.980328715370753798e+02,3.035405857300551133e+02,3.095773405662399682e+02,3.169143997274737785e+02,3.218776679215385457e+02
2.979988375226963626e+02,3.034488427892520122e+02,3.094539811288869942e+02,3.167293225657639368e+02,3.216729604610264346e+02
2.979988375226963626e+02,3.034366541714242658e+02,3.094371634820314512e+02,3.166932966554362565e+02,3.216144448799477686e+02
2.979784558167181672e+02,3.034059977453532042e+02,3.093304243425540108e+02,3.165387784520055448e+02,3.214629896389977830e+02
2.979784558167181672e+02,3.032956695120292352e+02,3.092236436879035182e+02,3.164045692672990526e+02,3.212720766729957518e+02
2.980125059217631929e+02,3.033509167882029374e+02,3.091785827150240493e+02,3.163270457695894606e+02,3.211739641939880698e+02
2.978762725014005355e+02,3.031974958904864934e+02,3.091166072815163375e+02,3.161926174054248122e+02,3.209677375581775323e+02
2.978831268047674712e+02,3.031298577071596014e+02,3.089304857712562580e+02,3.159800638107197983e+02,3.207414348687028109e+02
2.978080573597743523e+02,3.030867861924873523e+02,3.088060797396706221e+02,3.158918263813386602e+02,3.205688239292629760e+02
2.978080573597743523e+02,3.030314131145451029e+02,3.087211303997993923e+02,3.156942554334266902e+02,3.203909249463073365e+02
2.977875843983725304e+02,3.029079825193953184e+02,3.085907820936795929e+02,3.154962437475026604e+02,3.201334181943604449e+02
2.977466087461521624e+02,3.027967340119493542e+02,3.084715286597441377e+02,3.152715976559359206e+02,3.199298081342292335e+02
2.977328548417212915e+02,3.027967340119493542e+02,3.084146899923367755e+02,3.151669574137190466e+02,3.197407773767589561e+02
2.976233119449635751e+02,3.026481149335260739e+02,3.082495371941425901e+02,3.149887628629177243e+02,3.194915200434354574e+02
2.975889476891374557e+02,3.026171689712815578e+02,3.080897605792215472e+02,3.146996203125297029e+02,3.191563645848797250e+02
2.975340883830790517e+02,3.024804812053577052e+02,3.079467953262807214e+02,3.144888409337661983e+02,3.189456590561560461e+02
2.975271769669096784e+02,3.023621517479022032e+02,3.077347654035748974e+02,3.142827675714869997e+02,3.186840394474471054e+02
2.974790258623841623e+02,3.022873918705791425e+02,3.076197952253276071e+02,3.140231756824486524e+02,3.184015544198002203e+02
2.974583911485308363e+02,3.021812360605462118e+02,3.074817001989375171e+02,3.138957574042687497e+02,3.181486714431698601e+02
2.973342338175344821e+02,3.020685853038298205e+02,3.072740078266043042e+02,3.135549803467793026e+02,3.176915277193582483e+02
2.973342338175344821e+02,3.019682103391328951e+02,3.070831866374400647e+02,3.132663693706848562e+02,3.175081258213645583e+02
2.972304582067679348e+02,3.018112245753285947e+02,3.069034215786058439e+02,3.129123522116815366e+02,3.170426976044842604e+02
2.971541953767637096e+02,3.016473323527508796e+02,3.066998943051710285e+02,3.125676955446583065e+02,3.166366414458117902e+02
2.970222342172925778e+02,3.014703441890422368e+02,3.063553709855523266e+02,3.121455956208423572e+02,3.161511688414752825e+02
2.969943623645478397e+02,3.013308458377704824e+02,3.061091417407466224e+02,3.117703512240454984e+02,3.156942554334266902e+02
2.969037422989825359e+02,3.010380565714390286e+02,3.057381357611315025e+02,3.113112943168167703e+02,3.150464770167882307e+02
2.967708078024655265e+02,3.008654977878751993e+02,3.054185724439746537e+02,3.107669827196675669e+02,3.145046570931171459e+02
2.965952535773506611e+02,3.005894194982557792e+02,3.050079546186497623e+02,3.101743531913700167e+02,3.137627994429648197e+02
2.963905792672910025e+02,3.002407338317296421e+02,3.045466414446627255e+02,3.094876054422567790e+02,3.129392684784808694e+02
2.962701202503714626e+02,2.999351719498749844e+02,3.039545696190829176e+02,3.087721544049518911e+02,3.119772665051224294e+02
2.960280194719267115e+02,2.995752921216185882e+02,3.034305008972968949e+02,3.079124771403949126e+02,3.110863165468940679e+02
2.958130778339092899e+02,2.990735361743772955e+02,3.027039645644416623e+02,3.068452361577607235e+02,3.097396418229914161e+02
2.954444769042942198e+02,2.984721507350033107e+02,3.018112245753285947e+02,3.055608002962375735e+02,3.082723498382320599e+02
2.950866421798664305e+02,2.978080573597743523e+02,3.008014485911985503e+02,3.041666178444816069e+02,3.065249099270147326e+02
2.946282827435167633e+02,2.970082346913939659e+02,2.995883730859828233e+02,3.024493280378120517e+02,3.044804542527913895e+02
2.942234907276702529e+02,2.962133857313880299e+02,2.982497261987605839e+02,3.005250307151038669e+02,3.020998269863634391e+02
